,Id,Tweet,Text,remove_user,Cleansing2,Cleansing3,Tokenization,Normalisasi,Stop_Removal
790,1405422510846349315,"https://t.co/YGotcfncNJ kenapa link ni dah ada tarikh first dose, tapi my sejahtera tak update lagi? https://t.co/8VFM2yJeE2","https://t.co/ygotcfncnj kenapa link ni dah ada tarikh first dose, tapi my sejahtera tak update lagi? https://t.co/8vfm2yjee2","https://t.co/ygotcfncnj kenapa link ni dah ada tarikh first dose, tapi my sejahtera tak update lagi? https://t.co/8vfm2yjee2",,,[''],[''],['']
3293,1404081189183393792,@aihanagyulxx https://t.co/2fhAYJYZgd try isi sini boleh dak,@aihanagyulxx https://t.co/2fhayjyzgd try isi sini boleh dak, https://t.co/2fhayjyzgd try isi sini boleh dak, , ,"['', '']","['', '']","['', '']"
79,1405880269911908358,@_xmxr_xljxffrxy Ada banyak case mcm tu. Mysejahtera is handled by KKM. Website vaksincovid by mosti. Sbb tu tak synergize.,@_xmxr_xljxffrxy ada banyak case mcm tu. mysejahtera is handled by kkm. website vaksincovid by mosti. sbb tu tak synergize., ada banyak case mcm tu. mysejahtera is handled by kkm. website vaksincovid by mosti. sbb tu tak synergize., ada banyak case mcm tu. mysejahtera is handled by kkm. website vaksincovid by mosti. sbb tu tak synergize., ada banyak case mcm mysejahtera handled kkm website vaksincovid mosti sbb tak synergize ,"['', 'ada', 'banyak', 'case', 'mcm', 'mysejahtera', 'handled', 'kkm', 'website', 'vaksincovid', 'mosti', 'sbb', 'tak', 'synergize', '']","['', 'ada', 'banyak', 'case', 'mcm', 'mysejahtera', 'handled', 'kkm', 'website', 'vaksincovid', 'mosti', 'sbb', 'tak', 'synergize', '']","['', 'case', 'mcm', 'mysejahtera', 'handled', 'kkm', 'website', 'vaksincovid', 'mosti', 'sbb', 'synergize', '']"
2838,1404330980857417730,@MalaysiaINSIGHT @KKMPutrajaya Ada 78% sedang mnunggu utk mndpt vaksin: sumber : https://t.co/udvLhqx2Bc,@malaysiainsight @kkmputrajaya ada 78% sedang mnunggu utk mndpt vaksin: sumber : https://t.co/udvlhqx2bc,  ada 78% sedang mnunggu utk mndpt vaksin: sumber : https://t.co/udvlhqx2bc,  ada % sedang mnunggu utk mndpt vaksin: sumber : , ada sedang mnunggu utk mndpt vaksin sumber ,"['', 'ada', 'sedang', 'mnunggu', 'utk', 'mndpt', 'vaksin', 'sumber', '']","['', 'ada', 'sedang', 'mnunggu', 'utk', 'mndpt', 'vaksin', 'sumber', '']","['', 'mnunggu', 'utk', 'mndpt', 'vaksin', 'sumber', '']"
4259,1403489572240035840,"RT @JKJAVMY: Adakah bekas pesakit COVID-19 boleh menerima vaksin? Sila rujuk maklumat ini.

Daftar untuk vaksinasi: https://t.co/m1joWOSGde…","rt @jkjavmy: adakah bekas pesakit covid-19 boleh menerima vaksin? sila rujuk maklumat ini.

daftar untuk vaksinasi: https://t.co/m1jowosgde…","rt : adakah bekas pesakit covid-19 boleh menerima vaksin? sila rujuk maklumat ini.

daftar untuk vaksinasi: https://t.co/m1jowosgde…",": adakah bekas pesakit covid- boleh menerima vaksin? sila rujuk maklumat ini.

daftar untuk vaksinasi: ", adakah bekas pesakit covid boleh menerima vaksin sila rujuk maklumat ini daftar untuk vaksinasi ,"['', 'adakah', 'bekas', 'pesakit', 'covid', 'boleh', 'menerima', 'vaksin', 'sila', 'rujuk', 'maklumat', 'ini', 'daftar', 'untuk', 'vaksinasi', '']","['', 'adakah', 'bekas', 'pesakit', 'covid', 'boleh', 'menerima', 'vaksin', 'sila', 'rujuk', 'maklumat', 'ini', 'daftar', 'untuk', 'vaksinasi', '']","['', 'adakah', 'bekas', 'pesakit', 'covid', 'menerima', 'vaksin', 'sila', 'rujuk', 'maklumat', 'daftar', 'vaksinasi', '']"
3984,1403609230016385025,"RT @JKJAVMY: Adakah bekas pesakit COVID-19 boleh menerima vaksin? Sila rujuk maklumat ini.

Daftar untuk vaksinasi: https://t.co/O6dR84RMxi

#LindungDiriLindungSemua https://t.co/q44QLJ0VyC","rt @jkjavmy: adakah bekas pesakit covid-19 boleh menerima vaksin? sila rujuk maklumat ini.

daftar untuk vaksinasi: https://t.co/o6dr84rmxi

#lindungdirilindungsemua https://t.co/q44qlj0vyc","rt : adakah bekas pesakit covid-19 boleh menerima vaksin? sila rujuk maklumat ini.

daftar untuk vaksinasi: https://t.co/o6dr84rmxi

#lindungdirilindungsemua https://t.co/q44qlj0vyc",": adakah bekas pesakit covid- boleh menerima vaksin? sila rujuk maklumat ini.

daftar untuk vaksinasi: lindungdirilindungsemua ", adakah bekas pesakit covid boleh menerima vaksin sila rujuk maklumat ini daftar untuk vaksinasi lindungdirilindungsemua ,"['', 'adakah', 'bekas', 'pesakit', 'covid', 'boleh', 'menerima', 'vaksin', 'sila', 'rujuk', 'maklumat', 'ini', 'daftar', 'untuk', 'vaksinasi', 'lindungdirilindungsemua', '']","['', 'adakah', 'bekas', 'pesakit', 'covid', 'boleh', 'menerima', 'vaksin', 'sila', 'rujuk', 'maklumat', 'ini', 'daftar', 'untuk', 'vaksinasi', 'lindungdirilindungsemua', '']","['', 'adakah', 'bekas', 'pesakit', 'covid', 'menerima', 'vaksin', 'sila', 'rujuk', 'maklumat', 'daftar', 'vaksinasi', 'lindungdirilindungsemua', '']"
357,1405736040220938248,RT @JKJAVMY: Adakah saya perlu hadir bersama tanggungan saya pada hari vaksinasi jika saya telah memerima janji temu vaksinasi tanggungan d…,rt @jkjavmy: adakah saya perlu hadir bersama tanggungan saya pada hari vaksinasi jika saya telah memerima janji temu vaksinasi tanggungan d…,rt : adakah saya perlu hadir bersama tanggungan saya pada hari vaksinasi jika saya telah memerima janji temu vaksinasi tanggungan d…,: adakah saya perlu hadir bersama tanggungan saya pada hari vaksinasi jika saya telah memerima janji temu vaksinasi tanggungan d…, adakah saya perlu hadir bersama tanggungan saya pada hari vaksinasi jika saya telah memerima janji temu vaksinasi tanggungan ,"['', 'adakah', 'saya', 'perlu', 'hadir', 'bersama', 'tanggungan', 'saya', 'pada', 'hari', 'vaksinasi', 'jika', 'saya', 'telah', 'memerima', 'janji', 'temu', 'vaksinasi', 'tanggungan', '']","['', 'adakah', 'saya', 'perlu', 'hadir', 'bersama', 'tanggungan', 'saya', 'pada', 'hari', 'vaksinasi', 'jika', 'saya', 'telah', 'memerima', 'janji', 'temu', 'vaksinasi', 'tanggungan', '']","['', 'adakah', 'hadir', 'tanggungan', 'vaksinasi', 'memerima', 'janji', 'temu', 'vaksinasi', 'tanggungan', '']"
433,1405715146404548613,"@_Idzham_ Aku memang monitor mak aku punya appointment dari sini je selalunya 

https://t.co/R8Tsa6sScj","@_idzham_ aku memang monitor mak aku punya appointment dari sini je selalunya 

https://t.co/r8tsa6sscj"," aku memang monitor mak aku punya appointment dari sini je selalunya 

https://t.co/r8tsa6sscj"," aku memang monitor mak aku punya appointment dari sini je selalunya 

", aku memang monitor mak aku punya appointment dari sini selalunya ,"['', 'aku', 'memang', 'monitor', 'mak', 'aku', 'punya', 'appointment', 'dari', 'sini', 'selalunya', '']","['', 'aku', 'memang', 'monitor', 'mak', 'aku', 'punya', 'appointment', 'dari', 'sini', 'selalunya', '']","['', 'monitor', 'mak', 'appointment', 'selalunya', '']"
1581,1404984281307484161,"Ya. Anda akan terima peringatan (SMS dan / atau panggilan telefon) untuk temujanji anda 3 HARI dan SEHARI sebelum tarikh yang dijadualkan.

Daftar untuk vaksinasi : https://t.co/BE722sd4ng
- Reposted from @jkjavmy https://t.co/JPZpjdIp6A","ya. anda akan terima peringatan (sms dan / atau panggilan telefon) untuk temujanji anda 3 hari dan sehari sebelum tarikh yang dijadualkan.

daftar untuk vaksinasi : https://t.co/be722sd4ng
- reposted from @jkjavmy https://t.co/jpzpjdip6a","ya. anda akan terima peringatan (sms dan / atau panggilan telefon) untuk temujanji anda 3 hari dan sehari sebelum tarikh yang dijadualkan.

daftar untuk vaksinasi : https://t.co/be722sd4ng
- reposted from  https://t.co/jpzpjdip6a","ya. anda akan terima peringatan (sms dan / atau panggilan telefon) untuk temujanji anda  hari dan sehari sebelum tarikh yang dijadualkan.

daftar untuk vaksinasi : - reposted from  ", anda akan terima peringatan sms dan atau panggilan telefon untuk temujanji anda hari dan sehari sebelum tarikh yang dijadualkan daftar untuk vaksinasi reposted from ,"['', 'anda', 'akan', 'terima', 'peringatan', 'sms', 'dan', 'atau', 'panggilan', 'telefon', 'untuk', 'temujanji', 'anda', 'hari', 'dan', 'sehari', 'sebelum', 'tarikh', 'yang', 'dijadualkan', 'daftar', 'untuk', 'vaksinasi', 'reposted', 'from', '']","['', 'anda', 'akan', 'terima', 'peringatan', 'sms', 'dan', 'atau', 'panggilan', 'telefon', 'untuk', 'temujanji', 'anda', 'hari', 'dan', 'sehari', 'sebelum', 'tarikh', 'yang', 'dijadualkan', 'daftar', 'untuk', 'vaksinasi', 'reposted', 'from', '']","['', 'terima', 'peringatan', 'sms', 'panggilan', 'telefon', 'temujanji', 'sehari', 'tarikh', 'dijadualkan', 'daftar', 'vaksinasi', 'reposted', 'from', '']"
4272,1403397555954749440,"RT @makmalfahmi: @JKJAVMY Apabila saya semak pada apps Mysejahtera, tiada appointment vaksin, tapi bila semak dekat website https://t.co/eA…","rt @makmalfahmi: @jkjavmy apabila saya semak pada apps mysejahtera, tiada appointment vaksin, tapi bila semak dekat website https://t.co/ea…","rt :  apabila saya semak pada apps mysejahtera, tiada appointment vaksin, tapi bila semak dekat website https://t.co/ea…",:  apabila saya semak pada apps mysejahtera tiada appointment vaksin tapi bila semak dekat website , apabila saya semak pada apps mysejahtera tiada appointment vaksin tapi bila semak dekat website ,"['', 'apabila', 'saya', 'semak', 'pada', 'apps', 'mysejahtera', 'tiada', 'appointment', 'vaksin', 'tapi', 'bila', 'semak', 'dekat', 'website', '']","['', 'apabila', 'saya', 'semak', 'pada', 'apps', 'mysejahtera', 'tiada', 'appointment', 'vaksin', 'tapi', 'bila', 'semak', 'dekat', 'website', '']","['', 'semak', 'apps', 'mysejahtera', 'tiada', 'appointment', 'vaksin', 'semak', 'website', '']"
